8916	80256

1677	15105

8487	76395

4191	37731

4818	43374

2480	22332

9248	83244

8468	76224

1560	14052

4480	40332

9035	81327

2196	19776

4246	38226

7971	71751

4662	41970

3219	28983

5160	46452

6553	58989

8016	72156

9371	84351

9290	83622

4503	40539

5892	53040

4804	43248

9402	84630

93	849

331	2991

272	2460

2480	22332

7982	71850

1872	16860

3553	31989

9595	86367

5485	49377

6615	59547

1938	17454

6173	55569

566	5106

3773	33969

1031	9291

1642	14790

8946	80526

6661	59961

3738	33654

1885	16977

1403	12639

1870	16842

5556	50016

1445	13017

8422	75810

1770	15942

7956	71616

4133	37209

6104	54948

8227	74055

76	696

11	111

9376	84396

8274	74478

3043	27399

7054	63498

9745	87717

2739	24663

5672	51060

5175	46587

980	8832

7640	68772

9659	86943

4038	36354

2688	24204

7266	65406

4963	44679

8568	77124

7102	63930

8318	74874

3210	28902

3770	33942

827	7455

8170	73542

8046	72426

3744	33708

8549	76953

3582	32250

7850	70662

3051	27471

3772	33960

7428	66864

4041	36381

3773	33969

7073	63669

3482	31350

6604	59448

8153	73389

4059	36543

207	1875

9155	82407

1845	16617

7649	68853

2201	19821

7048	63444

5405	48657

2912	26220

4146	37326

2307	20775

235	2127

4302	38730

5791	52131

8679	78123

9605	86457

6159	55443

9011	81111

9492	85440

3904	35148

6777	61005

8268	74424

9799	88203

1003	9039

6877	61905

8962	80670

4881	43941

3424	30828

297	2685

7549	67953

8320	74892

900	8112

781	7041

9606	86466

9167	82515

7832	70500

4138	37254

7724	69528

4904	44148

6436	57936

62	570

821	7401

7179	64623

4136	37236

1044	9408

1812	16320

9929	89373

5686	51186

4898	44094

742	6690

1296	11676

5049	45453

3552	31980

7060	63552

4667	42015

4367	39315

2806	25266

2071	18651

7180	64632

8084	72768

2259	20343

2192	19740

4312	38820

7474	67278

3268	29424

2363	21279

1013	9129

7656	68916

3409	30693

2188	19704

9148	82344

5625	50637

9615	86547

1535	13827

1922	17310

2127	19155

2727	24555

7949	71553

4844	43608

1965	17697

1113	10029

176	1596

5087	45795

6093	54849

1323	11919

6952	62580

4074	36678

1113	10029

9212	82920

8851	79671

9985	89877

4918	44274

701	6321

6837	61545

5037	45345

9993	89949

6737	60645

9923	89319

5277	47505

7375	66387

6887	61995

2459	22143

1576	14196

9045	81417

9306	83766

3978	35814

1483	13359

268	2424

1066	9606

5853	52689

4946	44526

1460	13152

1305	11757

2300	20712

6505	58557

9143	82299

4816	43356

992	8940

3466	31206

2913	26229

8035	72327

5832	52500

9143	82299

9837	88545

3753	33789

4491	40431

6672	60060

3491	31431

5486	49386

2757	24825

1004	9048

7474	67278

63	579

2000	18012

7297	65685

3627	32655

2829	25473

393	3549

6094	54858

1612	14520

9986	89886

1919	17283

135	1227

7332	66000

6656	59916

7608	68484

1035	9327

8428	75864

5678	51114

4503	40539

6033	54309

8469	76233

2255	20307

8437	75945

8023	72219

6526	58746

9087	81795

7931	71391

3520	31692

6136	55236

7740	69672

1329	11973

7606	68466

6853	61689

8041	72381

2076	18696

1175	10587

5584	50268

8210	73902

623	5619

2869	25833

4821	43401

9756	87816

2967	26715

4334	39018

7444	67008

2104	18948

6395	57567

1462	13170

6847	61635

9176	82596

8245	74217

9276	83496

7854	70698

125	1137

545	4917

5459	49143

5631	50691

7842	70590

8070	72642

4347	39135

4354	39198

2938	26454

3899	35103

9766	87906

8590	77322

5988	53904

9365	84297

4591	41331

3765	33897

5950	53562

531	4791

7139	64263

1296	11676

7739	69663

4150	37362

5317	47865

1151	10371

6373	57369

9505	85557

8712	78420

5902	53130

7918	71274

7892	71040

4570	41142

1448	13044

3158	28434

5225	47037

5375	48387

1331	11991

104	948

3758	33834

402	3630

3413	30729

5544	49908

5729	51573

8695	78267

1611	14511

9296	83676

4123	37119

6153	55389

6123	55119

3732	33600

9479	85323

6071	54651

4614	41538

1205	10857

9354	84198

1031	9291

428	3864

714	6438

2195	19767

5603	50439

9503	85539

1818	16374

8709	78393

2276	20496

1369	12333

9497	85485

418	3774

3667	33015

633	5709

8946	80526

6091	54831

2278	20514

6419	57783

208	1884

6434	57918

2990	26922

1488	13404

3304	29748

7817	70365

2761	24861

3154	28398

1838	16554

8702	78330

3804	34248

4494	40458

1768	15924

9225	83037

6098	54894

4557	41025

7806	70266

4143	37299

245	2217

3979	35823

5201	46821

6903	62139

8204	73848

1621	14601

2094	18858

5412	48720

5007	45075

4922	44310

2295	20667

580	5232

5438	48954

3506	31566

4986	44886

7822	70410

8253	74289

2961	26661

7046	63426

4239	38163

1568	14124

6671	60051

1867	16815

4610	41502

1964	17688

5676	51096

8864	79788

5852	52680

9634	86718

2930	26382

4787	43095

6094	54858

7341	66081

1334	12018

9140	82272

250	2262

7112	64020

9614	86538

8233	74109

6142	55290

5605	50457

7006	63066

820	7392

8924	80328

8725	78537

1606	14466

6064	54588

8531	76791

6880	61932

3040	27372

2754	24798

1416	12756

8024	72228

3552	31980

376	3396

6541	58881

5486	49386

718	6474

939	8463

4011	36111

4326	38946

6669	60033

8029	72273

5211	46911

6352	57180

3845	34617

7950	71562

820	7392

6593	59349

8253	74289

3013	27129

5476	49296

9589	86313

2907	26175

5661	50961

9397	84585

5229	47073

2732	24600

1450	13062

2233	20109

2701	24321

4001	36021

1461	13161

2402	21630

4313	38829

307	2775

1770	15942

5511	49611

3165	28497
